, 31696
39524, 31724
39516, 31692
39540, 31704
39524, 31708
39524, 31716
39548, 31712
39560, 31700
39560, 31700
39560, 31720
39572, 31736
39580, 31728
39584, 31736
39580, 31732
39592, 31732
39584, 31752
39580, 31728
39600, 31732
39556, 31716
39544, 31712
39536, 31668
39488, 31672
39448, 31688
39444, 31656
39440, 31664
39400, 31672
39400, 31664
39404, 31664
39420, 31660
39400, 31664
39380, 31632
39376, 31620
39360, 31620
39356, 31624
39372, 31620
39344, 31616
39328, 31616
39352, 31628
39332, 31588
39344, 31604
39320, 31596
39328, 31608
39332, 31620
39352, 31592
39340, 31620
39320, 31612
39348, 31596
39344, 31596
39328, 31600
39344, 31624
39324, 31608
39332, 31628
39316, 31600
39328, 31612
39320, 31616
39332, 31604
39332, 31624
39344, 31624
39344, 31624
39352, 31624
39360, 31616
39344, 31620
39360, 31600
39360, 31604
39356, 31628
39372, 31628
39372, 31628
39400, 31632
39396, 31668
39392, 31660
39404, 31648
39420, 31652
39396, 31660
39408, 31640
39392, 31648
39424, 31644
39412, 31656
39428, 31660
39440, 31676
39440, 31672
39440, 31692
39444, 31672
39448, 31680
39476, 31656
39460, 31680
39460, 31680
39488, 31692
39484, 31676
39480, 31676
39496, 31700
39508, 31704
39512, 31696
39500, 31692
39488, 31680
39488, 31672
39456, 31664
39412, 31652
39396, 31652
39380, 31656
39384, 31632
39380, 31652
39368, 31644
39360, 31628
39348, 31632
39336, 31644
39352, 31632
39328, 31624
39332, 31628
39328, 31628
39320, 31636
39312, 31628
39324, 31644
39300, 31636
39300, 31616
39312, 31632
39296, 31624
39312, 31648
39308, 31624
39304, 31612
39308, 31628
39316, 31624
39296, 31632
39296, 31624
39324, 31644
39308, 31640
39304, 31640
39292, 31668
39300, 31668
39304, 31644
39308, 31664
39296, 31672
39304, 31644
39328, 31680
39316, 31668
39344, 31676
39344, 31668
39340, 31680
39336, 31692
39340, 31676
39352, 31688
39352, 31696
39344, 31692
39348, 31660
39360, 31684
39352, 31688
39360, 31700
39364, 31692
39368, 31684
39384, 31704
39388, 31692
39388, 31696
39400, 31704
39412, 31712
39392, 31716
39384, 31720
39396, 31720
39436, 31744
39408, 31712
39404, 31728
39416, 31716
39432, 31716
39448, 31732
39440, 31732
39420, 31704
39432, 31708
39416, 31712
39420, 31712
39392, 31676
39364, 31664
39332, 31668
39304, 31660
39300, 31656
39288, 31656
39284, 31652
39264, 31644
39252, 31624
39260, 31620
39264, 31608
39252, 31628
39248, 31604
39220, 31620
39212, 31596
39204, 31584
39196, 31580
39164, 31580
39184, 31576
39176, 31568
39184, 31568
39180, 31572
39188, 31576
39160, 31560
39176, 31560
39172, 31552
39164, 31552
39168, 31556
39160, 31556
39156, 31556
39152, 31532
39168, 31556
39152, 31540
39152, 31540
39180, 31544
39152, 31540
39184, 31552
39160, 31560
39172, 31576
39188, 31584
39176, 31568
39200, 31568
39196, 31580
39196, 31584
39184, 31572
39192, 31564
39212, 31576
39228, 31580
39216, 31576
39216, 31596
39216, 31576
39216, 31596
39224, 31576
39244, 31592
39252, 31596
39248, 31588
39248, 31592
39256, 31580
39256, 31600
39268, 31608
39312, 31596
39292, 31612
39300, 31612
39284, 31612
39292, 31628
39300, 31624
39324, 31620
39328, 31612
39348, 31604
39320, 31620
39332, 31632
